iter	Passed	Remaining
0	2	288
1	5	248
2	7	236
3	9	226
4	11	219
5	13	216
6	15	211
7	18	207
8	20	204
9	22	205
10	24	200
11	26	197
12	28	193
13	30	189
14	32	186
15	34	183
16	37	180
17	39	178
18	41	175
19	43	172
20	45	169
21	47	167
22	49	164
23	51	161
24	53	159
25	55	157
26	57	155
27	59	152
28	61	150
29	63	148
30	65	145
31	67	143
32	69	141
33	71	139
34	73	137
35	75	135
36	77	132
37	80	130
38	82	128
39	84	126
40	86	124
41	88	122
42	90	120
43	92	117
44	94	115
45	96	113
46	98	111
47	100	109
48	102	106
49	104	104
50	106	102
51	108	100
52	110	98
53	112	96
54	114	94
55	117	91
56	119	89
57	121	87
58	123	86
59	125	83
60	126	80
61	127	77
62	129	75
63	131	73
64	133	71
65	135	69
66	137	67
67	139	65
68	141	63
69	143	61
70	145	59
71	148	57
72	150	55
73	152	53
74	154	51
75	156	49
76	158	47
77	160	45
78	162	43
79	164	41
80	167	39
81	169	37
82	170	34
83	172	32
84	174	30
85	176	28
86	178	26
87	180	24
88	182	22
89	184	20
90	186	18
91	188	16
92	190	14
93	192	12
94	194	10
95	196	8
96	198	6
97	200	4
98	202	2
99	204	0
